# Wavelength (Angstroms), Moonlight, Continuum, Starlight, Zodiacal Light
2.976759999999999764e+03,4.315190768277652467e-01,1.364583136588924539e+01,1.166809617060962445e+01,1.527566058238072566e+00
3.021070000000000164e+03,1.032761405761397455e+01,1.086425623617065517e+00,9.515314672879792157e-01,1.369050739338040001e+00
3.025509999999999764e+03,3.334264127632349695e+00,1.163197418292587493e+00,1.113426301275211472e+00,1.613854452302684761e+00
3.043229999999999563e+03,2.691534803926915487e+01,1.527566058238072566e+00,1.104078619902073122e+00,2.437810818368752575e+00
3.065389999999999873e+03,4.236429660495411476e+00,6.062708209142840587e+00,1.185298033557862674e+00,2.930049787752477819e+00
3.072780000000000200e+03,3.365115693754906800e+01,9.600907253922899898e+00,1.213690788051577485e+00,3.115387082932591145e+00
3.087550000000000182e+03,5.164163692720710941e+01,2.406208925040115787e+01,1.272492196688626231e+00,3.521680884348964202e+00
3.109710000000000036e+03,6.353309318517435855e+01,8.137668607787873043e+01,1.366100630212848221e+00,4.232773211919431233e+00
3.131869999999999891e+03,9.660508789898135262e+01,9.268298233793494489e+01,1.466595187557444779e+00,5.087448196446922033e+00
3.154030000000000200e+03,1.253141174941415557e+02,1.055601503215930279e+02,1.574482433136372261e+00,6.114697824737532095e+00
3.309139999999999873e+03,1.706082389003124433e+02,1.346889900666844255e+02,2.587717455567206670e+00,1.234796982073028992e+01
3.591669999999999618e+03,1.702158508394950047e+02,1.405385560735024910e+02,6.396676441912267919e+00,1.998469822451502154e+01
3.818800000000000182e+03,1.614358556826487074e+02,1.138935340897383668e+02,1.077026196341161146e+01,2.776514846105508028e+01
3.852039999999999964e+03,1.931968317016924175e+02,1.106938190041889101e+02,1.114971715092565141e+01,2.901882395895857059e+01
4.084710000000000036e+03,2.897343587701324168e+02,1.026833831791179108e+02,1.255898808825464030e+01,3.284755908893011878e+01
4.350619999999999891e+03,2.630267991895381670e+02,1.049542883065708878e+02,1.122664471297597366e+01,4.705321607955362140e+01
4.616530000000000655e+03,2.818382931264454783e+02,1.101540835705755654e+02,1.116863247780561252e+01,5.888436553555889930e+01
4.882430000000000291e+03,2.600159563165271948e+02,1.150800089991917048e+02,9.768918588227361255e+00,6.156765533928280121e+01
5.148339999999999236e+03,2.360478233180578229e+02,1.233101950231346109e+02,8.538384096191753869e+00,6.349866389635783293e+01
5.414250000000000000e+03,2.264644307593059693e+02,1.471629556615947649e+02,7.591239878271923480e+00,6.733642517748083378e+01
5.813110000000000582e+03,2.051162178825564695e+02,1.943866637709028282e+02,6.646608786432047999e+00,7.091693275950591158e+01
6.092319999999999709e+03,1.976969640111859974e+02,1.908020840257251507e+02,6.147510123241066715e+00,7.191730463976790588e+01
6.344930000000000291e+03,1.811340092619602444e+02,1.767392039620999356e+02,5.635569113913909689e+00,7.144963260755135082e+01
6.610839999999999236e+03,1.745822152920503925e+02,1.664689472444620719e+02,5.211328529969962986e+00,7.144963260755135082e+01
6.872319999999999709e+03,1.592208727051169888e+02,1.696748610307864453e+02,4.846336718336796245e+00,7.103950258234645787e+01
7.017089999999999236e+03,1.448771853544761825e+02,1.790721682597831261e+02,4.689192074638426355e+00,7.062825160858146489e+01
